p cnf 150 810
62 80 122 0
10 50 131 0
-14 -106 -110 0
10 119 129 0
14 99 -137 0
3 54 66 0
50 128 136 0
38 106 139 0
17 -48 -144 0
2 -62 -87 0
84 93 -110 0
-32 43 -63 0
-28 -77 112 0
23 30 -47 0
12 -50 144 0
121 -128 149 0
-71 -95 -113 0
16 125 149 0
-11 110 139 0
53 -110 137 0
14 130 -138 0
-71 -119 -134 0
77 86 127 0
-73 100 -131 0
-10 -92 -102 0
70 72 -102 0
-64 90 -126 0
-61 -114 124 0
64 -74 114 0
55 111 130 0
-4 108 -138 0
46 118 141 0
5 -94 -111 0
-25 -38 -72 0
-60 -105 -130 0
5 66 -100 0
-3 -124 -149 0
42 -91 112 0
-23 -45 86 0
23 55 -84 0
-56 -60 -95 0
36 -80 -105 0
-33 -72 132 0
-65 -108 149 0
-78 -134 137 0
35 119 -138 0
9 -75 90 0
-5 24 -125 0
-29 -45 61 0
47 52 54 0
-63 82 139 0
29 -33 -125 0
68 -116 135 0
39 -125 144 0
-40 78 -132 0
44 70 93 0
-40 -45 137 0
-15 62 -109 0
23 71 133 0
29 -110 -136 0
-23 -52 98 0
24 -96 139 0
49 71 -99 0
37 66 -102 0
10 23 -39 0
10 106 128 0
-106 -110 -120 0
55 78 -106 0
28 61 71 0
8 59 -93 0
15 -71 78 0
-1 -100 -146 0
65 -110 -118 0
68 74 92 0
-65 109 126 0
-42 -77 140 0
33 -43 -72 0
70 86 -129 0
-13 -133 150 0
-98 -128 -142 0
-1 -106 -129 0
37 47 -99 0
-30 78 84 0
86 -97 114 0
-2 31 101 0
-31 -63 75 0
-15 57 114 0
57 91 -113 0
-41 107 139 0
100 121 -124 0
49 96 129 0
-20 -38 128 0
74 -131 -142 0
16 -65 -68 0
-56 107 -120 0
43 -91 -97 0
23 96 138 0
72 -115 -128 0
-34 52 -106 0
-14 -39 -59 0
1 -111 119 0
3 13 -121 0
24 49 -80 0
-50 81 -95 0
30 -55 115 0
-32 61 -134 0
-5 -53 105 0
60 -90 132 0
8 31 120 0
-54 80 -112 0
86 90 144 0
-7 -72 113 0
-44 -64 -74 0
42 -68 94 0
-33 -45 132 0
-85 -98 -120 0
8 42 50 0
8 -42 -150 0
17 36 -91 0
-65 -92 132 0
87 93 -106 0
32 -73 -92 0
6 10 -139 0
-69 -109 -121 0
37 -88 -140 0
-37 79 -87 0
114 128 -149 0
55 -68 112 0
-8 -11 -125 0
-81 109 145 0
-25 -94 111 0
9 -14 -50 0
-51 77 119 0
20 30 48 0
34 57 76 0
11 94 121 0
28 -44 -125 0
51 -59 119 0
