p cnf 150 480
72 75 89 0
99 118 132 0
-39 -121 -126 0
15 -52 99 0
17 -82 -92 0
-52 85 -119 0
25 -56 -108 0
-83 92 117 0
26 44 -60 0
-14 90 125 0
32 138 -147 0
-34 -137 143 0
-22 -33 65 0
58 107 115 0
-50 114 -118 0
84 107 112 0
63 -69 89 0
44 129 -146 0
-101 124 149 0
30 -80 84 0
-55 -92 104 0
-13 -30 149 0
40 -51 -126 0
81 -105 124 0
-5 83 123 0
36 92 125 0
70 80 125 0
-46 -56 110 0
29 53 147 0
-1 -68 -120 0
-34 -65 -77 0
68 -80 -122 0
19 39 50 0
56 -69 -113 0
55 139 -145 0
-37 -75 -130 0
-18 58 -121 0
-1 -11 -94 0
-48 -115 -143 0
-26 -31 -55 0
31 33 87 0
46 48 115 0
24 52 -74 0
7 80 103 0
-17 101 -132 0
-59 -123 125 0
-13 16 -100 0
-42 47 -127 0
54 -89 -123 0
56 99 143 0
-16 -29 -94 0
-33 138 -144 0
-85 109 128 0
28 -62 135 0
-17 59 -114 0
-15 140 149 0
65 130 133 0
2 43 114 0
-5 -20 -124 0
28 39 -41 0
-6 -50 118 0
-1 19 -109 0
88 -113 -144 0
72 -76 119 0
37 99 129 0
-19 24 129 0
14 80 120 0
96 -125 145 0
-16 -68 104 0
-51 -90 94 0
56 59 -128 0
-33 -52 -68 0
-94 -104 127 0
-42 48 -64 0
-13 -45 -141 0
35 -101 133 0
35 -50 137 0
-39 -79 -99 0
-27 -99 142 0
15 80 90 0
40 -111 132 0
-5 -64 -132 0
-4 -81 -105 0
42 124 144 0
-36 -51 61 0
27 -50 -127 0
14 71 144 0
-21 119 -122 0
29 56 -67 0
103 113 138 0
-29 81 -98 0
-81 -113 137 0
12 39 41 0
-91 119 128 0
-1 35 80 0
-83 98 -134 0
-25 -120 -134 0
-40 76 116 0
-72 -100 143 0
39 -61 -98 0
-6 -81 113 0
43 49 -146 0
-83 -115 145 0
28 -60 -140 0
42 -68 70 0
21 54 -105 0
14 -106 -130 0
20 38 129 0
-29 63 -127 0
35 -88 -147 0
-48 86 91 0
81 90 138 0
28 -52 -131 0
-21 -43 -71 0
102 103 -122 0
-10 24 -99 0
30 87 148 0
27 -87 -142 0
28 137 -145 0
9 60 -75 0
-17 65 -68 0
6 59 -112 0
39 -41 -70 0
-67 -100 -132 0
-1 -82 86 0
11 -38 -57 0
-17 -56 111 0
101 126 -150 0
-29 96 107 0
18 -102 143 0
84 98 105 0
86 -134 137 0
7 -68 123 0
-7 -53 -137 0
43 -99 112 0
